POA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA2721,25,47,0,3,4,15,0,0,15,39,15,61,0,0,0,8,7,20,8,25,23,82,0,0,3,10,0,5,4,15,8,32,0,0,0,0,5,8,5,8,14,38,0,0,60,171
POA2722,376,741,14,75,33,141,16,65,180,742,236,1027,18,78,22,74,49,162,92,316,331,1341,0,6,6,24,6,21,49,146,61,192,5,7,9,21,41,97,53,126,116,318,12,35,843,2432
POA2725,54,109,0,0,4,24,5,15,18,54,21,90,3,4,0,4,3,19,5,29,32,118,0,0,0,3,0,0,7,26,7,26,0,4,4,3,6,14,9,22,18,44,0,0,109,271
POA2726,29,57,0,8,5,16,0,0,14,68,17,89,0,5,4,3,5,15,3,18,23,108,0,0,0,0,0,6,3,5,5,16,0,0,0,0,3,7,3,7,9,22,4,3,67,183
POA2727,32,59,0,4,8,42,0,4,15,66,24,118,0,13,4,11,4,26,11,43,35,158,0,0,3,4,0,6,3,4,6,14,0,0,0,0,6,5,5,9,12,23,0,0,78,241
POA2729,211,424,0,9,18,86,13,44,90,367,125,504,8,48,10,39,44,130,64,212,190,717,0,0,6,23,0,5,9,23,16,47,0,0,5,11,22,53,29,65,48,116,3,8,452,1261
POA2730,190,382,3,26,10,49,7,34,48,187,74,299,7,23,5,22,23,62,37,107,105,411,0,0,0,8,0,8,24,87,33,104,0,0,4,9,20,46,25,52,55,155,5,13,357,958
POA2731,1080,2149,8,58,79,351,15,79,434,1721,535,2206,45,168,79,241,121,377,245,786,778,2993,3,16,17,72,11,48,82,217,119,358,7,28,11,22,69,154,93,208,214,564,14,34,2088,5739
POA2732,299,596,3,13,8,39,9,39,77,316,96,402,9,16,13,42,31,94,47,154,144,550,0,0,7,19,0,9,29,68,32,98,0,3,10,13,13,34,20,51,58,145,3,5,499,1303
POA2733,72,146,0,0,3,16,0,9,28,129,36,158,0,0,0,4,11,25,9,30,46,186,0,4,0,4,0,0,16,41,18,48,0,0,4,8,4,13,6,20,23,71,0,3,144,406
